SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94605,Black or African American,Oakland Unified School District,262,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Black or African American,Oakland HS,469,English Only,1.17,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,White (not Hispanic),Edna Brewer,341,English Only,2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,Other Asian,Oakland Technical HS,357,English Only,2.76,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,White (not Hispanic),Montera,306,English Only,2.67,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Middle School Registration,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Westlake,103,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94621,Hispanic or Latino,Urban Promise Academy,379,English Learner,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94608,Other or Not Specified,Oakland Technical HS,405,Redesignated (RFEP),2.24,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Chinese,Edna Brewer,153,Redesignated (RFEP),3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,Other or Not Specified,Montera,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Middle School Registration,390,Redesignated (RFEP),2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94602,Chinese,High School Registration,25,English Only,4.14,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Chinese,Middle School Registration,153,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Chinese,Westlake,285,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94607,Chinese,Oakland Technical HS,139,English Learner,3.87,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94612,Chinese,Oakland Technical HS,34,Redesignated (RFEP),4.27,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94607,Chinese,Oakland Technical HS,149,Redesignated (RFEP),3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Chinese,Middle School Registration,153,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94606,Chinese,Oakland Technical HS,258,Redesignated (RFEP),3.28,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Claremont,406,English Only,1.83,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Chinese,Middle School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94612,Black or African American,Oakland Technical HS,446,English Only,1.65,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Chinese,Roosevelt,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94607,Chinese,Oakland Technical HS,95,Redesignated (RFEP),4.06,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Chinese,Westlake,206,Redesignated (RFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Chinese,Middle School Registration,379,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Other Asian,Claremont,103,Redesignated (RFEP),3.83,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Other or Not Specified,Montera,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94606,Hispanic or Latino,Oakland Technical HS,244,English Learner,3.55,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94607,Black or African American,Oakland Technical HS,422,English Only,2.24,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,Black or African American,Hillcrest,237,English Only,3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Black or African American,Edna Brewer,327,English Only,2.67,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Black or African American,Edna Brewer,306,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Black or African American,Claremont,306,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),Middle School Registration,1,English Only,4.33,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),Middle School Registration,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,240,English Only,3.36,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Middle School Registration,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Filipino,Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Claremont,390,English Only,2.17,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94602,Black or African American,Oakland Technical HS,394,English Only,2.48,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Hispanic or Latino,Urban Promise Academy,492,English Learner,0.17,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Hispanic or Latino,Claremont,234,Redesignated (RFEP),3.43,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94605,Hispanic or Latino,Oakland Technical HS,328,English Only,2.61,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Black or African American,High School Registration,417,English Only,1.83,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,White (not Hispanic),Montera,348,English Only,2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Hillcrest,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94603,Hispanic or Latino,Oakland Technical HS,488,Redesignated (RFEP),1.35,Below,2
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94603,Hispanic or Latino,Oakland Technical HS,235,English Learner,3.39,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94618,White (not Hispanic),High School Registration,154,Initially Fluent (IFEP),3.60,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,American Indian or Alaskan Native,Inactive Students School,456,English Only,1.17,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Other Asian,Roosevelt,101,English Only,3.86,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Black or African American,Montera,360,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94619,Korean,Middle School Registration,237,Initially Fluent (IFEP),3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94612,Vietnamese,Middle School Registration,154,Initially Fluent (IFEP),3.60,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Vietnamese,Middle School Registration,258,Redesignated (RFEP),3.33,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Black or African American,Edna Brewer,275,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94612,Black or African American,Oakland Technical HS,287,Redesignated (RFEP),3.07,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,Black or African American,Oakland Technical HS,492,English Only,1.06,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94609,Black or African American,Oakland Technical HS,309,English Only,2.88,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94609,Black or African American,Oakland Technical HS,252,English Only,3.30,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Edna Brewer,327,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94601,Filipino,Oakland Technical HS,297,Initially Fluent (IFEP),3.09,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,Hispanic or Latino,High School Registration,360,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Chinese,Montera,327,Initially Fluent (IFEP),2.67,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94602,Black or African American,Oakland Technical HS,33,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94608,Other or Not Specified,Oakland Technical HS,453,English Only,1.97,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Black or African American,Edna Brewer,285,Redesignated (RFEP),3.00,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94607,Black or African American,Oakland Technical HS,397,English Only,2.78,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94601,Cambodian,Oakland Technical HS,85,English Learner,3.95,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94705,Black or African American,Middle School Registration,456,English Only,1.17,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,285,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94609,Black or African American,Oakland Technical HS,143,English Only,3.85,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Black or African American,High School Registration,306,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94618,White (not Hispanic),Inactive Students School,56,Initially Fluent (IFEP),4.17,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,Japanese,Inactive Students School,285,English Only,3.14,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Vietnamese,Inactive Students School,237,Redesignated (RFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Middle School Registration,258,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,Other or Not Specified,Montera,360,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94618,White (not Hispanic),Inactive Students School,1,English Only,4.00,Above,4
